LAB	EXP	original_es	original_ci_lower	original_ci_upper	replication_es	ci_lower	ci_upper	log_es_ratio_individual	es_ratio_individual	pvalue	t_score_individual	t_pvalue	original_cv	replication_cv	subjective_success	ma_only
LAB60	MTT28	-0.556287997842748	-0.766946186607351	-0.34562980907814483	-0.07430418335385236	-0.17999276111797768	0.03138439441027295	0.4819838144888956	1.6192835761575206	0.11122814445197904	2.2374137185320064	NA	0.082052543755814	0.045221749881322326	FALSE	FALSE
LAB32	MTT30	-0.5903976324428394	-1.1131666387380843	-0.06762862614759435	-0.5065500157269017	-0.8571249958688997	-0.15597503558490378	0.08384761671593766	1.0874631699732382	0.015973780052787538	4.011719008393485	NA	0.20721561421449264	0.15013526315876508	TRUE	FALSE
LAB72	MTT30	-0.5903976324428394	-1.1131666387380843	-0.06762862614759435	-1.132080271229718	-1.451772666448108	-0.8123878760113279	-0.5416826387868786	0.581768522058831	0.0014982258740806446	11.269535122968566	NA	0.20721561421449264	0.06926433234360803	TRUE	FALSE
LAB21	MTT33	0.5386300607661101	0.48538261696850127	0.5918775045637189	-0.16310894448739163	-1.5210176283969612	1.1947997394221779	0.7017390052535017	2.017257680708164	0.656752490169431	-0.5168249924027778	NA	0.04054862780597547	0.3550737492201884	FALSE	FALSE
LAB52	MTT33	0.5386300607661101	0.48538261696850127	0.5918775045637189	-1.2665153516945125	-2.1585559754346413	-0.37447472795438363	1.8051454124606225	6.08085561641214	0.014752889377289607	-3.6497007770454464	NA	0.04054862780597547	0.264288876132172	FALSE	FALSE
LAB21	MTT37	0.3988600536135331	0.21006388756301175	0.5876562196640545	0.39043223804735966	-0.08523336494967454	0.8660978410443938	0.008427815566173447	1.0084634295829311	0.07166343719984748	3.5316708297428407	NA	0.07461183558608699	0.1614987113974732	TRUE	FALSE
LAB28	MTT37	0.3988600536135331	0.21006388756301175	0.5876562196640545	0.013437712116186813	-0.08671356677516986	0.1135889910075435	0.3854223414973463	1.4702351316419102	0.6981691821933307	0.42700200885118766	NA	0.07461183558608699	0.04480418397429475	FALSE	FALSE
LAB33	MTT37	0.3988600536135331	0.21006388756301175	0.5876562196640545	-0.016467375786946677	-0.14709972521524245	0.11416497364134909	0.4153274294004798	1.5148666713824908	0.6419070462355425	-0.5423878517962952	NA	0.07461183558608699	0.036878182206281036	FALSE	FALSE
LAB68	MTT4	-0.3011050927839216	-0.3809904853092288	-0.22121970025861443	0.03411062961265122	-0.16240535383952884	0.23062661306483126	0.3352157223965728	1.3982419848023557	0.5330210744079693	-0.746841000096364	NA	0.03034569835044617	0.056891984221844175	FALSE	FALSE
LAB72	MTT4	-0.3011050927839216	-0.3809904853092288	-0.22121970025861443	-1.771489237673439	-5.285123398620719	1.7421449232738415	-1.4703841448895174	0.22983717744918852	0.16229348365709392	2.169293288673653	NA	0.03034569835044617	0.2907585506740528	FALSE	FALSE
LAB1	MTT42	-1.1290047633136922	-1.437401040004859	-0.8206084866225254	-1.2647245566751937	-1.5476449029206796	-0.9818042104297079	-0.13571979336150153	0.8730872430578593	0.0026921998643912263	19.233931523037388	NA	0.10495012778657707	0.03546052806801269	TRUE	FALSE
LAB13	MTT42	-1.1290047633136922	-1.437401040004859	-0.8206084866225254	-1.044079671021163	-1.3664114966612482	-0.721747845381078	0.08492509229252909	1.0886355164532568	0.00510891165338049	13.93691807401989	NA	0.10495012778657707	0.04777742752968111	TRUE	FALSE
