EXP	original_es	original_ci_lower	original_ci_upper	n_completed_reps	replication_es	rema_es	rema_pi_lower	rema_pi_upper	rema_pvalue	rema_I2	rema_tau2	rema_Qp	fema_es	fema_ci_lower	fema_ci_upper	fema_pvalue	t_score_FEMA	t_score_mean	t_score	corrected_sign_original_es	corrected_sign_replication_es	log_es_ratio	es_ratio	original_cv	replication_cv	mean_abs_diff_reps	mean_abs_diff_reps_orig	significant_reps	n_voting_reps	subjective_success_reps
MTT67	-0.5434360196780522	-0.6645903777117635	-0.42228166164434094	2	0.06029295989177029	0.06029295989177029	-0.07653306994602281	0.19711898972956338	0.23291908806663106	0	0	0.6700252899065339	0.06029295989177029	-0.07653306994602281	0.19711898972956338	0.23291908806663106	-1.5588768578695358	-1.374925606537669	-1.5588768578695358	0.5434360196780522	-0.06029295989177029	0.6037289795698225	1.8289261284764802	0.08271780712598646	0.06311547122941308	0.033041479528571234	0.6048761844545656	0	1	0
MTT71	-0.712949807856125	-0.9186325336438739	-0.5072670820683762	3	-0.6160558548738947	-0.6160558548738947	-1.3505159650051533	0.11840425525736376	0.005590358055137689	85.15031085377971	0.07820343577138429	0.004229836767944942	-0.5505443390095079	-0.6950644948108349	-0.406024183208181	6.254560575795112e-6	8.464631470140016	5.097901795244006	8.464631470140016	0.712949807856125	0.6160558548738947	0.09689395298223036	1.1017435308099148	0.0591666504103082	0.12038736377260968	0.42169774885458733	0.2552621513602533	3	3	2
MTT81	-1.126521076785186	-1.7243017885082654	-0.5287403650621069	1	-0.13260177834747333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2223156383455476	1.2223156383455476	1.126521076785186	0.13260177834747333	0.9939192984377128	2.701802920334696	0.09487267438339583	0.12799038292192388	NA	NA	0	1	1
MTT83	-0.2586412036673671	-0.3936010724925274	-0.12368133484220681	3	-0.2676406600525621	-0.2676406600525621	-1.8355062033252636	1.3002248832201395	0.45956832852427076	94.47777631595257	0.3076093086518248	0.0036966859367534694	-0.07603308218866392	-0.1340269435240338	-0.018039220853294034	0.01792949400273736	3.159195261320735	3.16021843004818	3.159195261320735	0.2586412036673671	0.2676406600525621	-0.008999456385195004	0.9910409175172523	0.10077976701137657	0.19609244425267341	0.8260070511474282	0.4732938096738738	2	2	1
MTT86	-0.22528333902790806	-0.44454189550012757	-0.006024782555688529	2	-0.11227049848494991	-0.11227049848494991	-1.8542236173562292	1.6296826203863295	0.7821335989660523	56.12661075726895	0.18732085672470164	0.13111222443147016	-0.32278354306679113	-0.6493074128181169	0.0037403266845346117	0.05149295404413125	3.0108009959824686	1.1922512371656366	3.0108009959824686	0.22528333902790806	0.11227049848494991	0.11301284054295815	1.1196463097228209	0.05541110874020301	0.5233533226115639	0.8170030100754359	0.40850150503771787	1	2	1
MTT87	0.5306282510621704	0.26298531876356585	0.798271183360775	3	0.07164316858698322	0.07164316858698322	-4.3343181132284025e-4	0.14371976898528926	0.05117552407253064	0	0	0.5817410953461288	0.07164316858698322	-4.3343181132284025e-4	0.14371976898528926	0.05117552407253064	2.1790758145409694	1.375184419344979	2.1790758145409694	0.5306282510621704	0.07164316858698322	0.45898508247518716	1.5824670961142855	0.22709110588125273	0.16851841041957838	0.05539526308421289	0.42513079313760843	0	3	0
PCR11	0.48365995569322123	0.3216780941647896	0.6456418172216529	2	0.031256315091102584	0.031256315091102584	-0.33082899441530356	0.3933416245975088	0.8499213109273245	0	0	0.9133964232081817	0.031256315091102584	-0.33082899441530356	0.3933416245975088	0.8499213109273245	0.19461598763252305	0.06686941234365482	0.19461598763252305	0.48365995569322123	0.031256315091102584	0.45240364060211863	1.5720863784205816	0.14244225808959884	52.947258038425026	0.05041820563358555	0.4705809285362269	0	2	1
PCR114	0.5833323145527387	0.38173832212792824	0.7849263069775492	2	0.2389231679053045	0.2389231679053045	-0.37311359488101664	0.8509599306916257	0.3072083900868803	0	0	0.8277479167853669	0.2389231679053045	-0.37311359488101664	0.8509599306916257	0.3072083900868803	1.21942540284153	0.5935776191440086	1.21942540284153	0.5833323145527387	0.2389231679053045	0.3444091466474342	1.4111558871095649	0.08136760173292795	-2.998732098775875	0.11950370835209537	0.3025435261314656	0	2	2
PCR125	0.39500809079258997	0.04036875404008078	0.7496474275450992	3	0.2364853161330615	0.2364853161330615	0.07030585871872991	0.40266477354739316	0.005801179032124317	0	0	0.48509198349734095	0.2364853161330615	0.07030585871872991	0.40266477354739316	0.005801179032124317	2.828295359452597	0.9699800784994362	2.828295359452597	0.39500809079258997	0.2364853161330615	0.15852277465952846	1.1717786107802135	0.3571534736023735	-15.796210351723904	0.17819116985188463	0.20772379448439476	1	3	2
PCR139	1.5830939370944985	0.8828518324468417	2.2833360417421553	2	-1.345423569928509	-1.345423569928509	-1.9000322893666752	-0.7908148504903432	4.676118867917729e-4	0	0	0.3997502777360277	-1.345423569928509	-1.9000322893666752	-0.7908148504903432	4.676118867917729e-4	-5.5571849536243825	-2.7199815947933805	-5.5571849536243825	1.5830939370944985	-1.345423569928509	2.928517507023008	18.699887485476623	0.31412417230980877	0.7398625089214117	0.40780159122943616	2.9249113541284597	0	2	0
PCR147	11.179030546210162	10.248727248419838	12.109333844000487	2	4.872223716359199	4.872223716359199	-5.277957994197633	15.022405426916029	0.09539564356282923	99.3217032483607	29.676870116666656	6.3262704613375904e-34	5.514998658447485	5.045588631757466	5.984408685137504	1.9343427460141144e-11	25.756874637971542	11.806236548555852	25.756874637971542	11.179030546210162	4.872223716359199	6.306806829850964	548.291362939907	0.5296120111352945	-0.3081196634719628	5.358304964600601	6.311196526573778	2	2	2
